Post_ID,Post,Sentiment
1,I absolutely love this new phone! The camera quality is amazing.,Positive
2,The customer service was very helpful and friendly.,Positive
3,Had an amazing weekend with my friends! So much fun.,Positive
4,This movie was fantastic. I really enjoyed every minute.,Positive
5,The new update makes the app much faster and easier to use.,Positive
6,I am so happy with my purchase. Great product!,Positive
7,Beautiful weather today. Perfect day for a walk.,Positive
8,The food at this restaurant was delicious.,Positive
9,Very disappointed with the service. I had to wait for hours.,Negative
10,This product is terrible and completely stopped working.,Negative
11,I hate this new update. It made everything confusing.,Negative
12,Worst experience ever. I will never use this service again.,Negative
13,The movie was boring and far too long.,Negative
14,My order arrived late and the package was damaged.,Negative
15,The app keeps crashing every time I try to open it.,Negative
16,I am frustrated because nobody is responding to my messages.,Negative
17,Just had coffee and now I am heading to college.,Neutral
18,The meeting is scheduled for 10 AM tomorrow.,Neutral
19,I bought a new notebook from the store today.,Neutral
20,The weather forecast says it may rain tomorrow.,Neutral
21,Our class starts at 9 o'clock in the morning.,Neutral
22,I am going to the library this evening.,Neutral
23,The train arrived at the station on time.,Neutral
24,I posted a new photo on my social media account.,Neutral
25,This laptop is excellent and works perfectly for my studies.,Positive
26,Feeling grateful for all the support from my friends.,Positive
27,The internet connection has been awful all day.,Negative
28,I regret buying this product. It was a waste of money.,Negative
29,Today I attended a workshop about artificial intelligence.,Neutral
30,The package contains two books and a notebook.,Neutral
31,What an incredible performance! Everyone was cheering.,Positive
32,I am unhappy with the quality of this service.,Negative
33,Just finished my assignment and submitted it online.,Neutral
34,This is the best concert I have ever attended!,Positive
35,The website is slow and extremely frustrating to use.,Negative
36,My exam is scheduled for next Monday.,Neutral
37,Thank you for making my day so special!,Positive
38,I waited all morning and still did not receive my order.,Negative
39,I am currently studying computer science.,Neutral
40,The new features are useful and beautifully designed.,Positive
